EURUSD,201704021827,1.066440,1.066510,1.066440,1.066460,0
EURUSD,201704021828,1.066450,1.066510,1.066420,1.066460,0
EURUSD,201704021829,1.066460,1.066570,1.066450,1.066520,0
EURUSD,201704021830,1.066510,1.066750,1.066510,1.066670,0
EURUSD,201704021831,1.066660,1.066660,1.066530,1.066530,0
EURUSD,201704021832,1.066520,1.066620,1.066520,1.066620,0
EURUSD,201704021833,1.066650,1.066650,1.066570,1.066620,0
EURUSD,201704021834,1.066630,1.066630,1.066590,1.066620,0
EURUSD,201704021835,1.066630,1.066670,1.066620,1.066660,0
EURUSD,201704021836,1.066670,1.066890,1.066620,1.066780,0
EURUSD,201704021837,1.066770,1.066820,1.066720,1.066740,0
EURUSD,201704021838,1.066730,1.066770,1.066720,1.066740,0
EURUSD,201704021839,1.066770,1.066980,1.066770,1.066870,0
EURUSD,201704021840,1.066870,1.066880,1.066870,1.066880,0
EURUSD,201704021841,1.066920,1.067020,1.066920,1.066990,0
EURUSD,201704021842,1.067000,1.067000,1.066940,1.066940,0
EURUSD,201704021843,1.066970,1.067030,1.066970,1.066980,0
EURUSD,201704021844,1.066980,1.067010,1.066980,1.066980,0
EURUSD,201704021845,1.066980,1.066980,1.066870,1.066920,0
EURUSD,201704021846,1.066920,1.067020,1.066920,1.067020,0
EURUSD,201704021847,1.067070,1.067070,1.067070,1.067070,0
EURUSD,201704021848,1.067080,1.067120,1.067080,1.067110,0
EURUSD,201704021849,1.067090,1.067110,1.067070,1.067080,0
EURUSD,201704021850,1.067080,1.067090,1.067080,1.067080,0
EURUSD,201704021851,1.067090,1.067090,1.067080,1.067080,0
EURUSD,201704021852,1.067080,1.067120,1.067080,1.067110,0
EURUSD,201704021853,1.067120,1.067120,1.067060,1.067070,0
EURUSD,201704021854,1.067070,1.067110,1.067050,1.067050,0
EURUSD,201704021855,1.067070,1.067130,1.067050,1.067090,0
EURUSD,201704021856,1.067090,1.067150,1.067090,1.067130,0
EURUSD,201704021857,1.067160,1.067160,1.067120,1.067130,0
EURUSD,201704021858,1.067120,1.067160,1.067110,1.067120,0
EURUSD,201704021859,1.067130,1.067160,1.067110,1.067110,0
EURUSD,201704021900,1.067110,1.067150,1.067110,1.067150,0
EURUSD,201704021901,1.067150,1.067200,1.067120,1.067130,0
EURUSD,201704021902,1.067150,1.067230,1.067150,1.067230,0
EURUSD,201704021903,1.067250,1.067250,1.067210,1.067220,0
EURUSD,201704021904,1.067210,1.067250,1.067210,1.067230,0
EURUSD,201704021905,1.067210,1.067250,1.067210,1.067230,0
EURUSD,201704021906,1.067250,1.067350,1.067250,1.067330,0
EURUSD,201704021907,1.067290,1.067290,1.067210,1.067290,0
EURUSD,201704021908,1.067280,1.067350,1.067280,1.067330,0
EURUSD,201704021909,1.067330,1.067330,1.067210,1.067250,0
EURUSD,201704021910,1.067220,1.067250,1.067150,1.067150,0
EURUSD,201704021911,1.067200,1.067230,1.067180,1.067200,0
EURUSD,201704021912,1.067200,1.067230,1.067190,1.067230,0
EURUSD,201704021913,1.067230,1.067260,1.067150,1.067160,0
EURUSD,201704021914,1.067160,1.067160,1.067120,1.067120,0
EURUSD,201704021915,1.067120,1.067130,1.067110,1.067130,0
EURUSD,201704021916,1.067150,1.067150,1.067130,1.067130,0
EURUSD,201704021917,1.067100,1.067110,1.067030,1.067040,0
EURUSD,201704021918,1.067060,1.067100,1.067060,1.067080,0
EURUSD,201704021919,1.067100,1.067100,1.067030,1.067050,0
EURUSD,201704021920,1.067050,1.067110,1.067050,1.067100,0
EURUSD,201704021921,1.067110,1.067150,1.067110,1.067150,0
EURUSD,201704021922,1.067130,1.067130,1.067040,1.067050,0
EURUSD,201704021923,1.067040,1.067050,1.067030,1.067050,0
EURUSD,201704021924,1.067050,1.067060,1.067050,1.067060,0
EURUSD,201704021925,1.067050,1.067130,1.067050,1.067120,0
EURUSD,201704021926,1.067100,1.067120,1.067090,1.067100,0
EURUSD,201704021927,1.067090,1.067110,1.067080,1.067110,0
EURUSD,201704021928,1.067090,1.067120,1.067070,1.067100,0
EURUSD,201704021929,1.067090,1.067090,1.067070,1.067080,0
EURUSD,201704021930,1.067080,1.067080,1.067000,1.067010,0
EURUSD,201704021931,1.067000,1.067030,1.066950,1.066950,0
EURUSD,201704021932,1.066950,1.066950,1.066850,1.066850,0
EURUSD,201704021933,1.066850,1.066890,1.066850,1.066880,0
EURUSD,201704021934,1.066900,1.066950,1.066900,1.066950,0
EURUSD,201704021935,1.066950,1.067060,1.066950,1.066980,0
EURUSD,201704021936,1.067000,1.067000,1.066980,1.067000,0
